Año;Trimestre;Provincia;HASTA 512 kbps;+ 512 Kbps - 1 Mbps;+ 1 Mbps - 6 Mbps;+ 6 Mbps - 10 Mbps;+ 10 Mbps - 20 Mbps;+ 20 Mbps - 30 Mbps;+ 30 Mbps;OTROS;TOTAL
2022;4;Buenos Aires;28.934;23.347;259.866;281.55;244.555;98.67;3760.109;97.634;4794.665
2022;4;Capital Federal;516;5.096;31.32;64.653;36.336;8.116;1299.117;106.772;2067.41
2022;4;Catamarca;71;315;2.716;5.028;4.638;3.122;52.739;2.28;456.523
2022;4;Chaco;461;771;16.067;17.846;6.704;3.039;94.866;3.909;1374.431
2022;4;Chubut;109;1.614;46.457;31.007;34.728;15.77;19.048;20.026;277.65
2022;4;Córdoba;99;9.929;143.686;108.195;63.12;20.691;686.33;17.61;1148.561
2022;4;Corrientes;67;3.282;22.647;24.858;7.025;3.77;85.806;7.998;222.386
2022;4;Entre Ríos;107;4.722;45.629;46.7;20.927;22.483;130.406;0;377.867
2022;4;Formosa;84;245;22.458;12.391;6.724;310;18.93;698;1397.503
2022;4;Jujuy;58;1.763;18.652;14.07;36.43;335;46.91;0;510.825
2022;4;La Pampa;68;1.687;52.618;10.334;9.167;4.479;19.783;16.028;182.096
2022;4;La Rioja;18;595;2.531;3.01;24.435;5.029;50.644;0;698.649
2022;4;Mendoza;103;2.954;35.541;20.355;35.935;14.909;161.163;21.144;395.001
2022;4;Misiones;51;3.51;35.622;21.373;12.196;3.182;101.745;8.59;237.218
2022;4;Neuquén;168;994;38.814;13.96;13.008;5.739;85.247;2.25;1321.018
2022;4;Río Negro;111;1.081;32.053;13.931;20.442;7.335;57.495;29.644;272.981
2022;4;Salta;114;1.197;31.53;71.105;5.036;117;90.014;6.747;436.629
2022;4;San Juan;24;2.027;30.069;11.247;20.44;8.188;19.991;11.84;127.802
2022;4;San Luis;60;624;11.785;24.684;13.981;78.506;2.227;3.353;818.536
2022;4;Santa Cruz;51;6.81;11.616;11.509;10.374;3.236;5.559;1.048;101.152
2022;4;Santa Fe;468;9.374;115.767;194.42;73.345;22.899;453.078;18.34;1355.223
2022;4;Santiago Del Estero;178;1.267;26.183;58.136;17.735;661;14.345;989;1945.666
2022;4;Tierra Del Fuego;22;902;11.649;13.634;21.365;3.612;1.812;2.264;978.336
2022;4;Tucumán;39;1.562;29.996;35.425;26.369;1.375;153.538;15.118;302.383
2022;3;Buenos Aires;29.985;27.709;290.315;297.915;267.044;124.19;3618.689;65.821;4721.668
2022;3;Capital Federal;517;5.742;34.371;67.829;51.946;28.692;1253.105;105.477;2064.162
2022;3;Catamarca;71;384;3.107;5.389;5.099;3.737;50.298;2.208;524.838
2022;3;Chaco;461;987;16.782;18.938;8.049;15.828;79.39;3.711;1590.698
2022;3;Chubut;109;1.444;45.707;30.94;34.682;15.309;17.563;20.024;274.669
2022;3;Córdoba;99;11.312;153.324;111.615;70.989;27.112;650.344;13.873;1137.569
2022;3;Corrientes;67;3.865;23.427;23.948;7.776;21.706;56.95;7.107;211.779
2022;3;Entre Ríos;107;5.549;47.21;46.855;18.263;32.021;102.195;16.759;375.852
2022;3;Formosa;97;307;23.538;19.545;6.194;564;17.704;589;1623.981
2022;3;Jujuy;58;1.879;19.135;15.254;36.083;519;45.895;0;695.246
2022;3;La Pampa;68;1.887;61.54;9.653;11.592;5.609;22.731;3.012;184.024
2022;3;La Rioja;18;689;2.842;3.375;24.219;5.331;50.39;0;793.157
2022;3;Mendoza;103;2.953;44.232;21.977;48.201;17.243;150.043;4.771;392.42
2022;3;Misiones;51;3.749;36.628;20.758;12.676;19.615;80.33;8.35;233.106
2022;3;Neuquén;134;991;38.485;14.08;9.2;6.7;78.713;14.858;1287.036
2022;3;Río Negro;111;1.221;32.936;17.86;27.934;13.629;42.596;24.271;271.447
2022;3;Salta;114;1.49;32.923;71.199;5.662;1.001;85.661;6.491;318.427
2022;3;San Juan;24;2.027;30.324;11.247;22.157;6.78;19.221;11.619;127.375
2022;3;San Luis;60;307;6.563;20.813;12.061;67.438;13;14.815;501.69
2022;3;Santa Cruz;52;6.841;12.342;11.313;11.378;2.333;4.604;647;747.811
2022;3;Santa Fe;468;11.132;132.709;198.588;70.897;57.455;396.352;20.209;1355.342
2022;3;Santiago Del Estero;178;1.384;28.357;58.982;16.087;910;12.342;792;1997.152
2022;3;Tierra Del Fuego;22;831;12.002;14.815;20.102;1.752;1.021;3.351;906.043
2022;3;Tucumán;39;2.047;32.571;39.018;25.214;4.348;159.6;280;581.798
2022;2;Buenos Aires;30.639;28.323;295.238;307.554;273.954;129.869;3535.757;65.849;4667.183
2022;2;Capital Federal;517;5.98;36.036;72.434;55.372;31.571;1229.254;105.607;2053.254
2022;2;Catamarca;71;413;3.678;6.155;7.165;3.393;43.926;2.207;550.524
2022;2;Chaco;461;1.047;17.603;20.109;8.391;15.974;76.271;3.708;604.103
2022;2;Chubut;109;1.444;45.804;31.217;34.29;14.526;15.394;20.021;271.696
2022;2;Córdoba;99;11.971;160.486;120.485;71.923;28.645;619.4;13.426;1125.336
2022;2;Corrientes;67;3.937;24.253;24.842;8.001;21.719;55.071;7.107;211.93
2022;2;Entre Ríos;107;5.656;48.637;48.557;18.512;32.355;98.769;16.759;376.245
2022;2;Formosa;97;407;23.834;19.706;6.33;591;16.326;590;1751.196
2022;2;Jujuy;58;1.829;19.458;15.79;37.786;549;37.391;2.453;721.707
2022;2;La Pampa;68;1.887;62.546;9.842;11.8;5.247;17.125;3.012;179.459
2022;2;La Rioja;18;728;3.179;3.89;23.814;5.481;48.92;0;831.284
2022;2;Mendoza;103;2.954;44.961;22.557;64.138;19.543;121.366;3.94;382.459
2022;2;Misiones;51;3.808;37.254;21.712;12.774;19.757;75.107;8.35;229.762
2022;2;Neuquén;134;999;38.826;15.066;9.205;2.039;76.982;18.717;1293.835
2022;2;Río Negro;111;1.227;33.364;17.938;27.168;13.714;41.972;24.27;270.653
2022;2;Salta;114;1.53;33.732;72.661;6.012;1.156;81.478;6.494;317.063
2022;2;San Juan;24;2.027;30.385;11.276;24.649;3.728;16.701;11.617;124.383
2022;2;San Luis;60;306;6.84;21.217;11.052;67.438;13;14.815;500.362
2022;2;Santa Cruz;52;6.841;12.348;11.369;11.885;2.454;3.592;644;744.489
2022;2;Santa Fe;468;11.757;138.534;204.381;74.133;58.114;373.888;17.584;1346.391
2022;2;Santiago Del Estero;178;1.401;29.581;59.931;14.606;883;10.672;792;1969.191
2022;2;Tierra Del Fuego;22;831;12.052;14.828;19.968;1.712;1.006;3.351;905.917
2022;2;Tucumán;39;2.195;34.461;43.513;23.634;4.863;145.541;281;574.207
2022;1;Buenos Aires;31.591;30.056;313.382;321.756;290.127;161.183;3381.049;26.28;4555.424
2022;1;Capital Federal;527;5.575;39.918;77.39;61.053;43.289;1188.072;1.717;1944.014
2022;1;Catamarca;71;456;4.386;7.009;8.773;3.761;35.715;2.207;588.851
2022;1;Chaco;461;1.099;16.888;21.235;20.898;13.012;62.946;7.58;604.658
2022;1;Chubut;113;1.677;61.369;31.856;33.08;13.871;14.055;15.607;284.515
2022;1;Córdoba;100;12.782;165.922;126.009;73.967;34.892;577.027;13.104;1103.703
2022;1;Corrientes;67;4.029;24.563;25.665;27.077;10.452;43.631;7.094;209.511
2022;1;Entre Ríos;107;5.745;50.075;49.62;42.294;21.578;81.757;16.75;374.819
2022;1;Formosa;97;448;24.113;6.945;6.613;716;15.028;588;1901.699
2022;1;Jujuy;58;1.761;22.141;16.321;37.923;576;35.287;2.442;749.875
2022;1;La Pampa;301;2.223;62.812;9.869;12.044;5.25;14.4;2.833;410.431
2022;1;La Rioja;18;778;3.576;4.692;23.624;5.645;45.97;0;879.507
2022;1;Mendoza;114;3.355;51.23;26.407;74.178;21.566;95.048;3.287;389.071
2022;1;Misiones;51;3.873;35.655;22.261;26.855;15.854;58.61;8.349;222.457
2022;1;Neuquén;137;1.123;39.856;15.623;11.163;2.654;71.238;7.885;286.542
2022;1;Río Negro;116;1.383;35.565;18.859;26.926;14.144;37.729;22.652;273.258
2022;1;Salta;114;1.725;35.576;68.246;6.313;2.214;76.838;6.489;311.401
2022;1;San Juan;26;2.269;32.356;11.914;25.144;2.088;11.916;2.465;114.152
2022;1;San Luis;61;643;8.287;3.837;9.802;68.612;13;28.589;836.127
2022;1;Santa Cruz;51;6.898;12.71;11.502;12.277;2.628;2.551;485;584.566
2022;1;Santa Fe;468;12.435;143.796;208.361;84.787;58.018;344.17;18.444;1338.011
2022;1;Santiago Del Estero;178;1.401;30.22;61.17;13.542;849;8.309;792;1933.642
2022;1;Tierra Del Fuego;24;894;12.849;15.64;18.034;1.767;982;2.421;1950.711
2022;1;Tucumán;39;2.212;36.028;46.961;21.014;5.211;133.846;273;557.272
2021;4;Buenos Aires;37.821;11.026;352.95;331.292;297.296;196.021;3259.793;22.958;4509.157
2021;4;Capital Federal;563;1.695;47.133;81.899;66.135;66.755;1147.939;0;1974.556
2021;4;Catamarca;71;0;6.038;7.855;9.804;3.262;29.827;2.233;130.019
2021;4;Chaco;461;112;18.845;22.678;21.937;13.692;58.435;7.585;716.172
2021;4;Chubut;126;1.294;63.698;39.568;31.175;5.78;2.904;15.763;286.182
2021;4;Córdoba;100;2.479;184.548;130.892;76.246;41.198;538.7;12.607;1086.67
2021;4;Corrientes;67;645;28.83;26.368;22.922;10.087;39.911;7.082;847.2
2021;4;Entre Ríos;107;3.024;56.043;49.636;38.295;24.068;77.29;16.583;371.939
2021;4;Formosa;84;0;22.908;6.983;6.811;1.135;13.775;1.967;137.579
2021;4;Jujuy;58;175;22.446;16.793;38.134;564;33.421;2.324;910.118
2021;4;La Pampa;301;493;64.84;9.082;12.259;4.821;12.184;3.027;900.213
2021;4;La Rioja;18;1;5.018;5.437;23.559;5.671;43.424;0;102.109
2021;4;Mendoza;156;1.463;66.428;30.308;75.214;18.621;75.031;366;789.065
2021;4;Misiones;51;5;41.916;23.554;26.721;15.954;54.596;8.335;227.076
2021;4;Neuquén;140;940;42.313;13.264;10.515;3.31;69.217;7.767;1226.386
2021;4;Río Negro;156;1.174;38.373;19.878;31.255;4.13;36.142;22.645;309.597
2021;4;Salta;114;20;40.673;69.324;6.642;3.535;72.622;6.475;333.271
2021;4;San Juan;44;1.442;28.906;10.955;23.978;398;9.8;4.435;521.516
2021;4;San Luis;62;264;8.55;4.276;9.107;67.363;9;29.218;453.514
2021;4;Santa Cruz;52;297;20.305;11.641;13.054;1.77;876;491;1762.77
2021;4;Santa Fe;467;581;169.706;206.856;85.69;62.349;322.015;18.777;1913.393
2021;4;Santiago Del Estero;178;909;31.915;61.524;12.205;800;7.537;793;2793.181
2021;4;Tierra Del Fuego;26;385;13.505;16.534;16.562;1.748;1.017;2.58;462.946
2021;4;Tucumán;39;97;37.321;48.736;21.023;5.326;125.857;240;614.263
2021;3;Buenos Aires;37.193;31.149;1108.94;248.153;141.383;192.797;2482.266;9.728;4251.609
2021;3;Capital Federal;295;603;156.978;67.013;39.785;73.502;1075.229;0;2310.507
2021;3;Catamarca;71;0;6.755;8.428;10.517;1.659;26.618;2.206;127.183
2021;3;Chaco;301;112;22.545;20.986;23.852;14.412;49.705;7.958;552.458
2021;3;Chubut;104;105;89.168;26.281;18.538;5.32;1.643;14.907;364.857
2021;3;Córdoba;99;2.452;204.989;141.285;65.05;47.198;476.459;9.256;1045.689
2021;3;Corrientes;67;645;29.629;28.478;24.792;9.687;35.468;5.053;845.107
2021;3;Entre Ríos;107;3.024;61.354;59.776;39.114;16.284;67.961;12.755;367.268
2021;3;Formosa;381;0;22.778;7.142;6.978;1.192;12.707;1.617;433.414
2021;3;Jujuy;48;175;23.884;16.417;37.755;561;29.917;2.401;894.374
2021;3;La Pampa;298;313;65.063;7.395;8.737;4.023;10.506;4.152;710.876
2021;3;La Rioja;18;1;5.366;5.979;23.315;4.868;42.613;0;101.141
2021;3;Mendoza;36;31;151.871;12.64;62.628;7.596;21.087;50;372.822
2021;3;Misiones;51;5;41.932;25.099;26.079;14.792;42.291;8.279;214.472
2021;3;Neuquén;112;327;57.441;8.566;6.234;3.631;57.919;5.579;578.37
2021;3;Río Negro;125;557;68.991;3.73;14.88;2.282;34.011;20.009;825.903
2021;3;Salta;101;20;41.431;70.104;6.962;3.878;67.01;6.327;316.712
2021;3;San Juan;18;333;59.873;752;13.25;338;278;4.641;1796.764
2021;3;San Luis;60;0;11.552;2.405;6.491;67.942;22;29.392;199.782
2021;3;Santa Cruz;50;0;30.561;8.365;6.799;1.788;678;735;1510.513
2021;3;Santa Fe;467;579;193.207;201.25;83.941;55.08;290.793;16.267;1886.538
2021;3;Santiago Del Estero;123;909;32.752;61.838;11.274;801;6.863;898;2843.727
2021;3;Tierra Del Fuego;17;0;23.723;13.397;9.782;1.433;976;895;1936.335
2021;3;Tucumán;32;97;39.446;50.293;21.986;5.3;115.154;164;525.179
2021;2;Buenos Aires;37.192;31.178;1096.049;244.001;140.322;236.897;2337.604;9.108;4132.351
2021;2;Capital Federal;294;603;157.558;73.568;43.859;86.655;1037.752;66;2362.392
2021;2;Catamarca;71;0;7.219;9.091;6.828;4.941;25.388;2.206;126.673
2021;2;Chaco;301;112;23.444;21.574;24.032;16.069;47.239;7.958;553.316
2021;2;Chubut;104;105;89.639;22.605;16.604;3.896;1.112;5.172;348.028
2021;2;Córdoba;99;2.452;201.757;136.516;66.95;70.824;442.357;9.925;1029.781
2021;2;Corrientes;67;645;29.419;27.037;24.524;10.059;32.697;5.053;840.789
2021;2;Entre Ríos;107;3.024;63.518;55.349;39.468;18.484;61.605;16.077;364.525
2021;2;Formosa;381;0;22.364;7.31;7.46;1.341;11.077;1.618;432.17
2021;2;Jujuy;48;175;24.182;16.577;37.908;607;29.95;2.401;941.018
2021;2;La Pampa;298;554;64.146;7.769;8.128;3.399;9.311;4.062;948.815
2021;2;La Rioja;18;1;5.312;5.971;23.298;4.825;42.158;19;119.564
2021;2;Mendoza;36;31;137.462;10.886;56.117;4.403;20.686;50;346.554
2021;2;Misiones;51;5;41.643;25.907;25.811;16.172;38.308;8.279;212.12
2021;2;Neuquén;112;327;57.713;8.631;5.871;5.943;54.008;5.645;576.811
2021;2;Río Negro;125;557;69.356;3.663;15.019;3.867;31.488;20.009;825.402
2021;2;Salta;101;20;42.543;67.012;7.099;9.654;58.882;6.328;312.518
2021;2;San Juan;18;333;59.989;784;12.55;340;278;4.641;1830.18
2021;2;San Luis;60;0;11.752;2.703;5.418;65.946;22;36.917;204.736
2021;2;Santa Cruz;50;0;30.595;8.463;6.888;1.575;676;735;1508.521
2021;2;Santa Fe;467;896;202.018;204.077;80.452;75.195;262.124;15.371;2202.237
2021;2;Santiago Del Estero;123;909;32.034;62.224;10.359;811;6.064;1.566;1955.247
2021;2;Tierra Del Fuego;17;0;21.335;6.913;4.58;476;889;1.483;1416.311
2021;2;Tucumán;32;97;40.224;51.648;23.732;5.022;109.616;2.68;361.922
2021;1;Buenos Aires;36.939;31.187;1108.368;240.52;163.747;222.061;2246.313;10.867;4060.002
2021;1;Capital Federal;135;244;159.662;76.753;56.457;83.255;1003.041;126;1884.168
2021;1;Catamarca;71;0;7.423;8.455;10.115;712;22.996;2.196;834.185
2021;1;Chaco;301;112;24.357;22.102;27.556;14.496;42.462;8.384;552.357
2021;1;Chubut;106;109;86.986;21.401;15.392;2.844;1.112;4.39;347.125
2021;1;Córdoba;93;2.386;211.799;135.092;74.659;71.984;402.191;12.677;1003.788
2021;1;Corrientes;67;527;31.544;26.223;26.169;9.001;27.641;5.453;720.031
2021;1;Entre Ríos;105;2.911;67.255;56.06;42.432;15.774;54.6;12.826;356.858
2021;1;Formosa;56;0;22.409;7.569;7.916;1.215;9.579;1.942;106.63
2021;1;Jujuy;49;175;23.735;17.293;40.649;568;25.609;2.378;901.664
2021;1;La Pampa;298;554;68.2;7.864;7.611;2.786;7.368;2.424;948.253
2021;1;La Rioja;18;1;36.749;5.968;4.604;215;5.074;-1;285.395
2021;1;Mendoza;28;40;134.386;11.216;52.533;4.061;16.615;44;330.811
2021;1;Misiones;51;524;40.949;25.503;27.101;14.05;32.953;8.256;723.812
2021;1;Neuquén;116;327;56.171;8.443;5.903;5.677;50.84;5.758;575.792
2021;1;Río Negro;125;466;70.011;4.187;13.045;3.642;29.589;20.103;731.577
2021;1;Salta;109;20;40.785;68.149;9.164;8.139;54.889;6.319;316.445
2021;1;San Juan;25;194;60.439;858;11.494;340;276;4.641;1769.574
2021;1;San Luis;58;0;11.889;2.926;4.429;62.913;22;36.917;199.074
2021;1;Santa Cruz;50;0;30.655;8.334;6.987;1.337;647;-1.945;742.368
2021;1;Santa Fe;518;891;201.632;204.458;91.846;65.476;236.924;24.382;2233.718
2021;1;Santiago Del Estero;123;909;33.884;58.464;8.549;700;4.868;4.144;1841.909
2021;1;Tierra Del Fuego;17;0;21.379;1.468;4.317;486;919;11.836;1461
2021;1;Tucumán;29;97;42.81;53.416;25.255;4.188;103.437;2.68;357.786
2020;4;Buenos Aires;36.939;31.197;1109.865;242.243;214.171;213.588;2176.242;9.016;4033.261
2020;4;Capital Federal;135;244;160.21;78.123;60.208;80.269;1000.073;268;2025.883
2020;4;Catamarca;71;0;8.843;8.74;11.436;591;20.406;2.309;713.734
2020;4;Chaco;301;112;24.782;22.479;26.802;15.701;40.949;7.965;551.678
2020;4;Chubut;106;109;88.157;21.824;12.046;2.818;1.112;4.402;345.359
2020;4;Córdoba;119;2.386;214.963;135.262;82.221;70.013;384.169;13.568;1021.582
2020;4;Corrientes;67;527;31.9;26.321;25.687;9.383;26.789;4.985;719.065
2020;4;Entre Ríos;105;2.911;65.659;53.556;40.755;16.6;53.141;14.654;352.276
2020;4;Formosa;56;0;23.54;7.606;7.181;1.197;8.946;1.68;106.15
2020;4;Jujuy;49;182;23.772;14.379;44.93;446;19.282;2.811;782.174
2020;4;La Pampa;298;554;70.184;8.124;6.562;2.396;6.257;2.52;948.043
2020;4;La Rioja;18;1;36.906;6.06;4.633;181;4.979;0;252.578
2020;4;Mendoza;28;40;146.312;11.172;40.396;3.378;11.557;2.57;283.385
2020;4;Misiones;51;524;39.988;26.078;26.445;14.81;32.264;7.001;721.586
2020;4;Neuquén;116;327;56.434;8.478;5.791;5.493;50.776;5.72;575.692
2020;4;Río Negro;125;466;70.305;4.153;13.131;3.512;29.372;20.146;731.619
2020;4;Salta;109;514;41.443;68.829;15.188;8.291;46.697;6.319;809.767
2020;4;San Juan;25;194;61.316;740;5.126;332;275;4.588;1637.03
2020;4;San Luis;58;0;14.02;3.49;2.688;62.239;22;36.918;199.355
2020;4;Santa Cruz;47;0;27.173;4.382;6.634;1.033;647;758;1491.222
2020;4;Santa Fe;518;891;206.372;203.793;94.246;65.145;226.246;23.602;2228.404
