Anio,Trimestre,Provincia,ADSL,Cablemodem,fibra_optica,Wireless,otras_tecnologias,accesos_hogares,banda_ancha,dial_up,velocidad_512kpbs,velocidad_1Mbps,velocidad_6Mbps,velocidad_10Mbps,velocidad_20Mbps,velocidad_30Mbps,velocidad_mas30Mbps,velocidad_otros,velocidad_bajada
2022,4,Buenos Aires,326,3,1,130,72,7894,5,6.0,28.934,23.347,259.866,281.55,244.555,98.67,3760.109,97.634,111.0
2022,4,Capital Federal,139,1,139,5,32,12273,2,2.0,516.0,5.096,31.32,64.653,36.336,8.116,1299.117,106.772,18.286
2022,4,Catamarca,9,11,47,1,2,6577,71,1.0,71.0,315.0,2.716,5.028,4.638,3.122,52.739,2.28,8.333
2022,4,Chaco,25,61,47,8,3,4362,144,5.0,461.0,771.0,16.067,17.846,6.704,3.039,94.866,3.909,10.402
2022,4,Chubut,45,74,10,31,9,8557,168,904.0,109.0,1.614,46.457,31.007,34.728,15.77,19.048,20.026,1.592
2022,4,Córdoba,152,457,367,62,11,8903,1,68.0,99.0,9.929,143.686,108.195,63.12,20.691,686.33,17.61,10.877
2022,4,Corrientes,34,80,27,9,5,5164,155,4.0,67.0,3.282,22.647,24.858,7.025,3.77,85.806,7.998,9.472
2022,4,Entre Ríos,56,136,41,26,13,6401,271,22.0,107.0,4.722,45.629,46.7,20.927,22.483,130.406,0.0,8.747
2022,4,Formosa,14,17,13,18,227,3941,62,0.0,84.0,245.0,22.458,12.391,6.724,310.0,18.93,698.0,7.203
2022,4,Jujuy,18,52,43,4,1,5846,118,0.0,58.0,1.763,18.652,14.07,36.43,335.0,46.91,0.0,3.932
2022,4,La Pampa,8,61,25,20,1,9480,114,171.0,68.0,1.687,52.618,10.334,9.167,4.479,19.783,16.028,191.0
2022,4,La Rioja,6,54,19,6,32,7986,86,4.0,18.0,595.0,2.531,3.01,24.435,5.029,50.644,0.0,61.0
2022,4,Mendoza,38,78,147,28,2,5136,291,777.0,103.0,2.954,35.541,20.355,35.935,14.909,161.163,21.144,3.876
2022,4,Misiones,33,87,47,11,8,5285,186,0.0,51.0,3.51,35.622,21.373,12.196,3.182,101.745,8.59,9.124
2022,4,Neuquén,29,73,32,24,4,7867,160,468.0,168.0,994.0,38.814,13.96,13.008,5.739,85.247,2.25,9.537
2022,4,Río Negro,34,48,44,16,19,6842,162,548.0,111.0,1.081,32.053,13.931,20.442,7.335,57.495,29.644,7.531
2022,4,Salta,37,97,53,12,7,5796,206,5.0,114.0,1.197,31.53,71.105,5.036,117.0,90.014,6.747,7.593
2022,4,San Juan,39,23,12,22,8,5088,104,281.0,24.0,2.027,30.069,11.247,20.44,8.188,19.991,11.84,1.639
2022,4,San Luis,6,43,3,82,511,9027,135,192.0,60.0,624.0,11.785,24.684,13.981,78.506,2.227,3.353,3.067
2022,4,Santa Cruz,10,24,12,4,662,4353,50,198.0,51.0,6.81,11.616,11.509,10.374,3.236,5.559,1.048,1.433
2022,4,Santa Fe,164,412,249,44,19,7840,888,110.0,468.0,9.374,115.767,194.42,73.345,22.899,453.078,18.34,903.0
2022,4,Santiago Del Estero,14,81,15,7,3,4805,119,2.0,178.0,1.267,26.183,58.136,17.735,661.0,14.345,989.0,344.0
2022,4,Tierra Del Fuego,13,41,405,157,651,10144,55,312.0,22.0,902.0,11.649,13.634,21.365,3.612,1.812,2.264,1.348
2022,4,Tucumán,69,21,169,4,527,6104,263,30.0,39.0,1.562,29.996,35.425,26.369,1.375,153.538,15.118,8.833
2022,3,Buenos Aires,340,3,1,127,70,7811,5,6.0,29.985,27.709,290.315,297.915,267.044,124.19,3618.689,65.821,7.019
2022,3,Capital Federal,141,1,129,6,32,12228,2,2.0,517.0,5.742,34.371,67.829,51.946,28.692,1253.105,105.477,10.105
2022,3,Catamarca,10,10,46,1,2,6533,70,1.0,71.0,384.0,3.107,5.389,5.099,3.737,50.298,2.208,6.099
2022,3,Chaco,27,62,45,8,2,4386,144,5.0,461.0,987.0,16.782,18.938,8.049,15.828,79.39,3.711,5.321
2022,3,Chubut,45,72,10,30,9,8438,165,904.0,109.0,1.444,45.707,30.94,34.682,15.309,17.563,20.024,1.557
2022,3,Córdoba,164,465,339,61,10,8831,1,68.0,99.0,11.312,153.324,111.615,70.989,27.112,650.344,13.873,5.632
2022,3,Corrientes,37,77,19,7,5,4821,145,4.0,67.0,3.865,23.427,23.948,7.776,21.706,56.95,7.107,4.507
2022,3,Entre Ríos,60,133,37,26,13,6367,269,22.0,107.0,5.549,47.21,46.855,18.263,32.021,102.195,16.759,4.249
2022,3,Formosa,14,26,11,17,212,4376,69,1.0,97.0,307.0,23.538,19.545,6.194,564.0,17.704,589.0,3.035
2022,3,Jujuy,19,53,40,4,2,5891,119,0.0,58.0,1.879,19.135,15.254,36.083,519.0,45.895,0.0,3.243
2022,3,La Pampa,8,60,24,20,4,9659,116,171.0,68.0,1.887,61.54,9.653,11.592,5.609,22.731,3.012,1.81
2022,3,La Rioja,7,54,20,6,31,8066,87,4.0,18.0,689.0,2.842,3.375,24.219,5.331,50.39,0.0,4.43
2022,3,Mendoza,38,79,143,28,3,5103,289,777.0,103.0,2.953,44.232,21.977,48.201,17.243,150.043,4.771,3.416
2022,3,Misiones,36,89,39,11,8,5182,182,0.0,51.0,3.749,36.628,20.758,12.676,19.615,80.33,8.35,4.93
2022,3,Neuquén,29,76,29,27,1,8037,163,468.0,134.0,991.0,38.485,14.08,9.2,6.7,78.713,14.858,4.781
2022,3,Río Negro,36,48,41,17,19,6798,160,548.0,111.0,1.221,32.936,17.86,27.934,13.629,42.596,24.271,3.413
2022,3,Salta,40,97,50,10,7,5776,205,5.0,114.0,1.49,32.923,71.199,5.662,1.001,85.661,6.491,4.133
2022,3,San Juan,39,23,12,22,8,5080,103,281.0,24.0,2.027,30.324,11.247,22.157,6.78,19.221,11.619,1.584
2022,3,San Luis,7,29,248,71,15,8174,122,182.0,60.0,307.0,6.563,20.813,12.061,67.438,13.0,14.815,1.933
2022,3,Santa Cruz,10,24,11,4,582,4319,49,198.0,52.0,6.841,12.342,11.313,11.378,2.333,4.604,647.0,1.26
2022,3,Santa Fe,184,426,215,43,20,7855,888,110.0,468.0,11.132,132.709,198.588,70.897,57.455,396.352,20.209,4.515
2022,3,Santiago Del Estero,15,81,13,7,3,4798,119,2.0,178.0,1.384,28.357,58.982,16.087,910.0,12.342,792.0,1.769
2022,3,Tierra Del Fuego,13,40,403,125,651,9951,54,312.0,22.0,831.0,12.002,14.815,20.102,1.752,1.021,3.351,1.101
2022,3,Tucumán,78,19,162,4,519,6114,263,30.0,39.0,2.047,32.571,39.018,25.214,4.348,159.6,280.0,5.336
2022,2,Buenos Aires,351,3,1,127,71,7758,5,6.0,30.639,28.323,295.238,307.554,273.954,129.869,3535.757,65.849,655.0
2022,2,Capital Federal,145,1,122,6,32,12131,2,2.0,517.0,5.98,36.036,72.434,55.372,31.571,1229.254,105.607,9.397
2022,2,Catamarca,12,9,42,1,2,6240,67,1.0,71.0,413.0,3.678,6.155,7.165,3.393,43.926,2.207,5.656
2022,2,Chaco,30,61,42,8,2,4379,144,5.0,461.0,1.047,17.603,20.109,8.391,15.974,76.271,3.708,5.061
2022,2,Chubut,45,69,10,30,9,8319,162,904.0,109.0,1.444,45.804,31.217,34.29,14.526,15.394,20.021,1.491
2022,2,Córdoba,179,468,309,61,10,8748,1,68.0,99.0,11.971,160.486,120.485,71.923,28.645,619.4,13.426,5.351
2022,2,Corrientes,38,76,18,7,5,4835,145,4.0,67.0,3.937,24.253,24.842,8.001,21.719,55.071,7.107,4.331
2022,2,Entre Ríos,64,131,36,26,13,6390,269,22.0,107.0,5.656,48.637,48.557,18.512,32.355,98.769,16.759,4.003
2022,2,Formosa,15,25,10,17,212,4342,68,0.0,97.0,407.0,23.834,19.706,6.33,591.0,16.326,590.0,2.847
2022,2,Jujuy,20,54,34,4,2,5732,115,0.0,58.0,1.829,19.458,15.79,37.786,549.0,37.391,2.453,2.939
2022,2,La Pampa,8,59,23,20,1,9298,111,171.0,68.0,1.887,62.546,9.842,11.8,5.247,17.125,3.012,1.607
2022,2,La Rioja,8,53,19,6,31,8014,86,4.0,18.0,728.0,3.179,3.89,23.814,5.481,48.92,0.0,4.328
2022,2,Mendoza,38,78,136,27,2,4939,279,777.0,103.0,2.954,44.961,22.557,64.138,19.543,121.366,3.94,2.972
2022,2,Misiones,37,89,34,11,8,5100,179,0.0,51.0,3.808,37.254,21.712,12.774,19.757,75.107,8.35,4.623
2022,2,Neuquén,30,75,29,27,1,8002,162,468.0,134.0,999.0,38.826,15.066,9.205,2.039,76.982,18.717,4.653
2022,2,Río Negro,36,47,41,17,19,6785,159,548.0,111.0,1.227,33.364,17.938,27.168,13.714,41.972,24.27,3.326
2022,2,Salta,43,96,47,10,7,5754,203,5.0,114.0,1.53,33.732,72.661,6.012,1.156,81.478,6.494,3.877
2022,2,San Juan,39,20,12,22,8,4946,100,281.0,24.0,2.027,30.385,11.276,24.649,3.728,16.701,11.617,1.444
2022,2,San Luis,7,29,248,71,15,8176,122,182.0,60.0,306.0,6.84,21.217,11.052,67.438,13.0,14.815,1.932
2022,2,Santa Cruz,10,24,11,4,579,4315,49,198.0,52.0,6.841,12.348,11.369,11.885,2.454,3.592,644.0,1.181
2022,2,Santa Fe,198,428,190,43,20,7790,879,110.0,468.0,11.757,138.534,204.381,74.133,58.114,373.888,17.584,4.201
2022,2,Santiago Del Estero,17,80,12,7,3,4770,118,2.0,178.0,1.401,29.581,59.931,14.606,883.0,10.672,792.0,1.634
2022,2,Tierra Del Fuego,13,40,403,125,651,9986,53,312.0,22.0,831.0,12.052,14.828,19.968,1.712,1.006,3.351,1.097
2022,2,Tucumán,86,15,149,4,487,5931,254,30.0,39.0,2.195,34.461,43.513,23.634,4.863,145.541,281.0,5.009
2022,1,Buenos Aires,392,3,1,126,67,7608,5,6.0,31.591,30.056,313.382,321.756,290.127,161.183,3381.049,26.28,6.251
2022,1,Capital Federal,102,1,62,6,30,11180,1,2.0,527.0,5.575,39.918,77.39,61.053,43.289,1188.072,1.717,8.822
2022,1,Catamarca,14,16,29,1,2,5821,62,1.0,71.0,456.0,4.386,7.009,8.773,3.761,35.715,2.207,5.122
2022,1,Chaco,32,65,37,8,2,4406,144,5.0,461.0,1.099,16.888,21.235,20.898,13.012,62.946,7.58,4.584
2022,1,Chubut,44,67,9,31,21,8805,171,927.0,113.0,1.677,61.369,31.856,33.08,13.871,14.055,15.607,1.34
2022,1,Córdoba,196,502,236,61,10,8576,1,74.0,100.0,12.782,165.922,126.009,73.967,34.892,577.027,13.104,4.989
2022,1,Corrientes,40,79,11,7,5,4764,143,4.0,67.0,4.029,24.563,25.665,27.077,10.452,43.631,7.094,3.811
2022,1,Entre Ríos,67,139,23,26,13,6370,268,22.0,107.0,5.745,50.075,49.62,42.294,21.578,81.757,16.75,3.559
2022,1,Formosa,16,16,5,17,202,3496,55,0.0,97.0,448.0,24.113,6.945,6.613,716.0,15.028,588.0,3.028
2022,1,Jujuy,21,61,26,5,4,5806,117,0.0,58.0,1.761,22.141,16.321,37.923,576.0,35.287,2.442,2.769
